Match Day,Match Date (UTC),Match Time(New York),Match Time(London),Match Time(Moscow),Match Time(Dubai),Match Time(Shanghai),Fixture,Stadium,Home Team,Home Goal,Away Goal,Away Team,Last Update Time,Stage,Status,Note4,Likely Home Goal,Likely Away Goal,Projected Home Goal,Projected Away Goal,Win %,Draw %,Loss %,Guess Home,Guess Away,Dice Home,Dice Away,Match Time(Chicago),Match Time(Albuqerque),Match Time(San Francisco),,,,,,,,,,,,,,,,,,,,,
2,"Saturday, August 24, 2024",8/24/24 10:00 a.m.,8/24/24 3:00 p.m.,8/24/24 5:00 p.m.,8/24/24 6:00 p.m.,8/24/24 10:00 p.m.,Fulham vs Leicester City,Craven Cottage,Fulham,2,1,Leicester City,11/11/24 8:05 a.m.,REGULAR_SEASON,FULL_TIME,,2,1,1.65,0.95,53.7%,24.5%,21.7%,2,1,,,9:00,8:00,7:00,,,,,,,,,,,,,,,,,,,,,
2,"Saturday, August 24, 2024",8/24/24 10:00 a.m.,8/24/24 3:00 p.m.,8/24/24 5:00 p.m.,8/24/24 6:00 p.m.,8/24/24 10:00 p.m.,Man City vs Ipswich Town,Etihad Stadium,Man City,4,1,Ipswich Town,11/11/24 8:05 a.m.,REGULAR_SEASON,FULL_TIME,,3,0,2.51,0.46,80.6%,13.0%,4.9%,4,1,,,9:00,8:00,7:00,,,,,,,,,,,,,,,,,,,,,
2,"Saturday, August 24, 2024",8/24/24 10:00 a.m.,8/24/24 3:00 p.m.,8/24/24 5:00 p.m.,8/24/24 6:00 p.m.,8/24/24 10:00 p.m.,Southampton vs Nott'm Forest,St. Mary's Stadium,Southampton,0,1,Nott'm Forest,11/11/24 8:05 a.m.,REGULAR_SEASON,FULL_TIME,,2,2,1.55,1.38,41.4%,24.5%,33.9%,0,1,,,9:00,8:00,7:00,,,,,,,,,,,,,,,,,,,,,
2,"Saturday, August 24, 2024",8/24/24 10:00 a.m.,8/24/24 3:00 p.m.,8/24/24 5:00 p.m.,8/24/24 6:00 p.m.,8/24/24 10:00 p.m.,Spurs vs Everton,Tottenham Hotspur Stadium,Spurs,4,0,Everton,11/11/24 8:05 a.m.,REGULAR_SEASON,FULL_TIME,,1,1,1.40,1.33,38.7%,25.6%,35.6%,4,0,,,9:00,8:00,7:00,,,,,,,,,,,,,,,,,,,,,
2,"Saturday, August 24, 2024",8/24/24 12:30 p.m.,8/24/24 5:30 p.m.,8/24/24 7:30 p.m.,8/24/24 8:30 p.m.,8/25/24 12:30 a.m.,Aston Villa vs Arsenal,Villa Park,Aston Villa,0,2,Arsenal,11/11/24 8:05 a.m.,REGULAR_SEASON,FULL_TIME,,1,2,1.30,1.60,31.0%,24.4%,44.3%,0,2,,,11:30,10:30,9:30,,,,,,,,,,,,,,,,,,,,,
2,"Sunday, August 25, 2024",8/25/24 9:00 a.m.,8/25/24 2:00 p.m.,8/25/24 4:00 p.m.,8/25/24 5:00 p.m.,8/25/24 9:00 p.m.,Bournemouth vs Newcastle,Vitality Stadium,Bournemouth,1,1,Newcastle,11/11/24 8:05 a.m.,REGULAR_SEASON,FULL_TIME,,1,2,0.85,2.02,14.9%,20.4%,64.2%,1,1,,,8:00,7:00,6:00,,,,,,,,,,,,,,,,,,,,,
2,"Sunday, August 25, 2024",8/25/24 9:00 a.m.,8/25/24 2:00 p.m.,8/25/24 4:00 p.m.,8/25/24 5:00 p.m.,8/25/24 9:00 p.m.,Wolves vs Chelsea,Molineux Stadium,Wolves,2,6,Chelsea,11/11/24 8:05 a.m.,REGULAR_SEASON,FULL_TIME,,1,2,0.87,1.59,20.5%,25.1%,54.2%,2,6,,,8:00,7:00,6:00,,,,,,,,,,,,,,,,,,,,,
2,"Sunday, August 25, 2024",8/25/24 11:30 a.m.,8/25/24 4:30 p.m.,8/25/24 6:30 p.m.,8/25/24 7:30 p.m.,8/25/24 11:30 p.m.,Liverpool vs Brentford,Anfield,Liverpool,2,0,Brentford,11/11/24 8:05 a.m.,REGULAR_SEASON,FULL_TIME,,2,1,2.05,1.33,53.5%,21.3%,24.6%,2,0,,,10:30,9:30,8:30,,,,,,,,,,,,,,,,,,,,,
3,"Saturday, August 31, 2024",8/31/24 7:30 a.m.,8/31/24 12:30 p.m.,8/31/24 2:30 p.m.,8/31/24 3:30 p.m.,8/31/24 7:30 p.m.,Arsenal vs Brighton,Emirates Stadium,Arsenal,1,1,Brighton,11/11/24 8:05 a.m.,REGULAR_SEASON,FULL_TIME,,2,1,2.00,1.64,46.1%,21.4%,31.9%,1,1,,,6:30,5:30,4:30,,,,,,,,,,,,,,,,,,,,,
3,"Saturday, August 31, 2024",8/31/24 10:00 a.m.,8/31/24 3:00 p.m.,8/31/24 5:00 p.m.,8/31/24 6:00 p.m.,8/31/24 10:00 p.m.,Brentford vs Southampton,Gtech Community Stadium,Brentford,3,1,Southampton,11/11/24 8:05 a.m.,REGULAR_SEASON,FULL_TIME,,2,1,1.74,0.89,57.1%,23.5%,19.1%,3,1,,,9:00,8:00,7:00,,,,,,,,,,,,,,,,,,,,,
3,"Saturday, August 31, 2024",8/31/24 10:00 a.m.,8/31/24 3:00 p.m.,8/31/24 5:00 p.m.,8/31/24 6:00 p.m.,8/31/24 10:00 p.m.,Everton vs Bournemouth,Goodison Park,Everton,2,3,Bournemouth,11/11/24 8:05 a.m.,REGULAR_SEASON,FULL_TIME,,2,1,1.61,1.09,49.3%,24.8%,25.8%,2,3,,,9:00,8:00,7:00,,,,,,,,,,,,,,,,,,,,,
3,"Saturday, August 31, 2024",8/31/24 10:00 a.m.,8/31/24 3:00 p.m.,8/31/24 5:00 p.m.,8/31/24 6:00 p.m.,8/31/24 10:00 p.m.,Ipswich Town vs Fulham,Portman Road,Ipswich Town,1,1,Fulham,11/11/24 8:05 a.m.,REGULAR_SEASON,FULL_TIME,,1,2,1.19,1.77,25.6%,23.4%,50.8%,1,1,,,9:00,8:00,7:00,,,,,,,,,,,,,,,,,,,,,
3,"Saturday, August 31, 2024",8/31/24 10:00 a.m.,8/31/24 3:00 p.m.,8/31/24 5:00 p.m.,8/31/24 6:00 p.m.,8/31/24 10:00 p.m.,Leicester City vs Aston Villa,King Power Stadium,Leicester City,1,2,Aston Villa,11/11/24 8:05 a.m.,REGULAR_SEASON,FULL_TIME,,1,2,1.04,1.61,24.4%,24.9%,50.6%,1,2,,,9:00,8:00,7:00,,,,,,,,,,,,,,,,,,,,,
3,"Saturday, August 31, 2024",8/31/24 10:00 a.m.,8/31/24 3:00 p.m.,8/31/24 5:00 p.m.,8/31/24 6:00 p.m.,8/31/24 10:00 p.m.,Nott'm Forest vs Wolves,The City Ground,Nott'm Forest,1,1,Wolves,11/11/24 8:05 a.m.,REGULAR_SEASON,FULL_TIME,,1,1,1.31,1.12,41.0%,27.3%,31.6%,1,1,,,9:00,8:00,7:00,,,,,,,,,,,,,,,,,,,,,
3,"Saturday, August 31, 2024",8/31/24 12:30 p.m.,8/31/24 5:30 p.m.,8/31/24 7:30 p.m.,8/31/24 8:30 p.m.,9/1/24 12:30 a.m.,West Ham vs Man City,London Stadium,West Ham,1,3,Man City,11/11/24 8:05 a.m.,REGULAR_SEASON,FULL_TIME,,1,2,0.86,2.16,13.7%,19.1%,66.5%,1,3,,,11:30,10:30,9:30,,,,,,,,,,,,,,,,,,,,,
3,"Sunday, September 01, 2024",9/1/24 8:30 a.m.,9/1/24 1:30 p.m.,9/1/24 3:30 p.m.,9/1/24 4:30 p.m.,9/1/24 8:30 p.m.,Chelsea vs Crystal Palace,Stamford Bridge,Chelsea,1,1,Crystal Palace,11/11/24 8:05 a.m.,REGULAR_SEASON,FULL_TIME,,1,1,1.34,1.05,43.4%,27.3%,29.3%,1,1,,,7:30,6:30,5:30,,,,,,,,,,,,,,,,,,,,,
3,"Sunday, September 01, 2024",9/1/24 8:30 a.m.,9/1/24 1:30 p.m.,9/1/24 3:30 p.m.,9/1/24 4:30 p.m.,9/1/24 8:30 p.m.,Newcastle vs Spurs,St. James' Park,Newcastle,2,1,Spurs,11/11/24 8:05 a.m.,REGULAR_SEASON,FULL_TIME,,2,1,2.08,1.28,55.2%,21.0%,23.1%,2,1,,,7:30,6:30,5:30,,,,,,,,,,,,,,,,,,,,,
3,"Sunday, September 01, 2024",9/1/24 11:00 a.m.,9/1/24 4:00 p.m.,9/1/24 6:00 p.m.,9/1/24 7:00 p.m.,9/1/24 11:00 p.m.,Man Utd vs Liverpool,Old Trafford,Man Utd,0,3,Liverpool,11/11/24 8:05 a.m.,REGULAR_SEASON,FULL_TIME,,2,2,1.74,1.93,35.1%,21.6%,42.7%,0,3,,,10:00,9:00,8:00,,,,,,,,,,,,,,,,,,,,,
4,"Saturday, September 14, 2024",9/14/24 7:30 a.m.,9/14/24 12:30 p.m.,9/14/24 2:30 p.m.,9/14/24 3:30 p.m.,9/14/24 7:30 p.m.,Southampton vs Man Utd,St. Mary's Stadium,Southampton,0,3,Man Utd,11/11/24 8:05 a.m.,REGULAR_SEASON,FULL_TIME,,1,2,1.06,2.09,18.4%,20.5%,60.5%,0,3,,,6:30,5:30,4:30,,,,,,,,,,,,,,,,,,,,,
4,"Saturday, September 14, 2024",9/14/24 10:00 a.m.,9/14/24 3:00 p.m.,9/14/24 5:00 p.m.,9/14/24 6:00 p.m.,9/14/24 10:00 p.m.,Brighton vs Ipswich Town,American Express Stadium,Brighton,0,0,Ipswich Town,11/11/24 8:05 a.m.,REGULAR_SEASON,FULL_TIME,,3,1,2.58,0.91,71.5%,15.7%,11.1%,0,0,,,9:00,8:00,7:00,,,,,,,,,,,,,,,,,,,,,
4,"Saturday, September 14, 2024",9/14/24 10:00 a.m.,9/14/24 3:00 p.m.,9/14/24 5:00 p.m.,9/14/24 6:00 p.m.,9/14/24 10:00 p.m.,Crystal Palace vs Leicester City,Selhurst Park,Crystal Palace,2,2,Leicester City,11/11/24 8:05 a.m.,REGULAR_SEASON,FULL_TIME,,2,1,1.55,1.05,48.8%,25.4%,25.7%,2,2,,,9:00,8:00,7:00,,,,,,,,,,,,,,,,,,,,,
4,"Saturday, September 14, 2024",9/14/24 10:00 a.m.,9/14/24 3:00 p.m.,9/14/24 5:00 p.m.,9/14/24 6:00 p.m.,9/14/24 10:00 p.m.,Fulham vs West Ham,Craven Cottage,Fulham,1,1,West Ham,11/11/24 8:05 a.m.,REGULAR_SEASON,FULL_TIME,,1,1,1.40,1.40,37.2%,25.3%,37.4%,1,1,,,9:00,8:00,7:00,,,,,,,,,,,,,,,,,,,,,
4,"Saturday, September 14, 2024",9/14/24 10:00 a.m.,9/14/24 3:00 p.m.,9/14/24 5:00 p.m.,9/14/24 6:00 p.m.,9/14/24 10:00 p.m.,Liverpool vs Nott'm Forest,Anfield,Liverpool,0,1,Nott'm Forest,11/11/24 8:05 a.m.,REGULAR_SEASON,FULL_TIME,,3,1,2.62,0.87,72.9%,15.1%,10.1%,0,1,,,9:00,8:00,7:00,,,,,,,,,,,,,,,,,,,,,
4,"Saturday, September 14, 2024",9/14/24 10:00 a.m.,9/14/24 3:00 p.m.,9/14/24 5:00 p.m.,9/14/24 6:00 p.m.,9/14/24 10:00 p.m.,Man City vs Brentford,Etihad Stadium,Man City,2,1,Brentford,11/11/24 8:05 a.m.,REGULAR_SEASON,FULL_TIME,,2,1,2.22,0.94,65.6%,18.9%,14.7%,2,1,,,9:00,8:00,7:00,,,,,,,,,,,,,,,,,,,,,
4,"Saturday, September 14, 2024",9/14/24 12:30 p.m.,9/14/24 5:30 p.m.,9/14/24 7:30 p.m.,9/14/24 8:30 p.m.,9/15/24 12:30 a.m.,Aston Villa vs Everton,Villa Park,Aston Villa,3,2,Everton,11/11/24 8:05 a.m.,REGULAR_SEASON,FULL_TIME,,2,1,1.76,0.89,57.7%,23.3%,18.8%,3,2,,,11:30,10:30,9:30,,,,,,,,,,,,,,,,,,,,,
4,"Saturday, September 14, 2024",9/14/24 3:00 p.m.,9/14/24 8:00 p.m.,9/14/24 10:00 p.m.,9/14/24 11:00 p.m.,9/15/24 3:00 a.m.,Bournemouth vs Chelsea,Vitality Stadium,Bournemouth,0,1,Chelsea,11/11/24 8:05 a.m.,REGULAR_SEASON,FULL_TIME,,1,2,1.01,1.68,22.8%,24.2%,52.8%,0,1,,,14:00,13:00,12:00,,,,,,,,,,,,,,,,,,,,,
4,"Sunday, September 15, 2024",9/15/24 9:00 a.m.,9/15/24 2:00 p.m.,9/15/24 4:00 p.m.,9/15/24 5:00 p.m.,9/15/24 9:00 p.m.,Spurs vs Arsenal,Tottenham Hotspur Stadium,Spurs,0,1,Arsenal,11/11/24 8:05 a.m.,REGULAR_SEASON,FULL_TIME,,1,2,1.50,2.04,28.2%,21.4%,49.8%,0,1,,,8:00,7:00,6:00,,,,,,,,,,,,,,,,,,,,,
4,"Sunday, September 15, 2024",9/15/24 11:30 a.m.,9/15/24 4:30 p.m.,9/15/24 6:30 p.m.,9/15/24 7:30 p.m.,9/15/24 11:30 p.m.,Wolves vs Newcastle,Molineux Stadium,Wolves,1,2,Newcastle,11/11/24 8:05 a.m.,REGULAR_SEASON,FULL_TIME,,0,2,0.71,1.93,12.8%,20.8%,66.0%,1,2,,,10:30,9:30,8:30,,,,,,,,,,,,,,,,,,,,,
5,"Saturday, September 21, 2024",9/21/24 7:30 a.m.,9/21/24 12:30 p.m.,9/21/24 2:30 p.m.,9/21/24 3:30 p.m.,9/21/24 7:30 p.m.,West Ham vs Chelsea,London Stadium,West Ham,0,3,Chelsea,11/11/24 8:05 a.m.,REGULAR_SEASON,FULL_TIME,,1,1,1.30,1.41,34.5%,25.7%,39.7%,0,3,,,6:30,5:30,4:30,,,,,,,,,,,,,,,,,,,,,
5,"Saturday, September 21, 2024",9/21/24 10:00 a.m.,9/21/24 3:00 p.m.,9/21/24 5:00 p.m.,9/21/24 6:00 p.m.,9/21/24 10:00 p.m.,Aston Villa vs Wolves,Villa Park,Aston Villa,3,1,Wolves,11/11/24 8:05 a.m.,REGULAR_SEASON,FULL_TIME,,2,0,1.72,0.53,66.2%,22.6%,11.0%,3,1,,,9:00,8:00,7:00,,,,,,,,,,,,,,,,,,,,,
5,"Saturday, September 21, 2024",9/21/24 10:00 a.m.,9/21/24 3:00 p.m.,9/21/24 5:00 p.m.,9/21/24 6:00 p.m.,9/21/24 10:00 p.m.,Fulham vs Newcastle,Craven Cottage,Fulham,3,1,Newcastle,11/11/24 8:05 a.m.,REGULAR_SEASON,FULL_TIME,,1,2,1.09,1.58,26.3%,25.1%,48.5%,3,1,,,9:00,8:00,7:00,,,,,,,,,,,,,,,,,,,,,
5,"Saturday, September 21, 2024",9/21/24 10:00 a.m.,9/21/24 3:00 p.m.,9/21/24 5:00 p.m.,9/21/24 6:00 p.m.,9/21/24 10:00 p.m.,Leicester City vs Everton,King Power Stadium,Leicester City,1,1,Everton,11/11/24 8:05 a.m.,REGULAR_SEASON,FULL_TIME,,2,2,1.61,1.42,41.9%,24.0%,33.8%,1,1,,,9:00,8:00,7:00,,,,,,,,,,,,,,,,,,,,,
5,"Saturday, September 21, 2024",9/21/24 10:00 a.m.,9/21/24 3:00 p.m.,9/21/24 5:00 p.m.,9/21/24 6:00 p.m.,9/21/24 10:00 p.m.,Liverpool vs Bournemouth,Anfield,Liverpool,3,0,Bournemouth,11/11/24 8:05 a.m.,REGULAR_SEASON,FULL_TIME,,3,1,2.50,0.91,70.5%,16.4%,11.7%,3,0,,,9:00,8:00,7:00,,,,,,,,,,,,,,,,,,,,,
5,"Saturday, September 21, 2024",9/21/24 10:00 a.m.,9/21/24 3:00 p.m.,9/21/24 5:00 p.m.,9/21/24 6:00 p.m.,9/21/24 10:00 p.m.,Southampton vs Ipswich Town,St. Mary's Stadium,Southampton,1,1,Ipswich Town,11/11/24 8:05 a.m.,REGULAR_SEASON,FULL_TIME,,2,1,1.69,1.36,45.0%,23.7%,31.0%,1,1,,,9:00,8:00,7:00,,,,,,,,,,,,,,,,,,,,,
5,"Saturday, September 21, 2024",9/21/24 10:00 a.m.,9/21/24 3:00 p.m.,9/21/24 5:00 p.m.,9/21/24 6:00 p.m.,9/21/24 10:00 p.m.,Spurs vs Brentford,Tottenham Hotspur Stadium,Spurs,3,1,Brentford,11/11/24 8:05 a.m.,REGULAR_SEASON,FULL_TIME,,1,2,1.34,1.61,31.8%,24.3%,43.7%,3,1,,,9:00,8:00,7:00,,,,,,,,,,,,,,,,,,,,,
5,"Saturday, September 21, 2024",9/21/24 12:30 p.m.,9/21/24 5:30 p.m.,9/21/24 7:30 p.m.,9/21/24 8:30 p.m.,9/22/24 12:30 a.m.,Crystal Palace vs Man Utd,Selhurst Park,Crystal Palace,0,0,Man Utd,11/11/24 8:05 a.m.,REGULAR_SEASON,FULL_TIME,,1,2,1.22,1.53,30.4%,25.2%,44.3%,0,0,,,11:30,10:30,9:30,,,,,,,,,,,,,,,,,,,,,
5,"Sunday, September 22, 2024",9/22/24 9:00 a.m.,9/22/24 2:00 p.m.,9/22/24 4:00 p.m.,9/22/24 5:00 p.m.,9/22/24 9:00 p.m.,Brighton vs Nott'm Forest,American Express Stadium,Brighton,2,2,Nott'm Forest,11/11/24 8:05 a.m.,REGULAR_SEASON,FULL_TIME,,2,1,2.44,0.93,69.3%,16.9%,12.5%,2,2,,,8:00,7:00,6:00,,,,,,,,,,,,,,,,,,,,,
5,"Sunday, September 22, 2024",9/22/24 11:30 a.m.,9/22/24 4:30 p.m.,9/22/24 6:30 p.m.,9/22/24 7:30 p.m.,9/22/24 11:30 p.m.,Man City vs Arsenal,Etihad Stadium,Man City,2,2,Arsenal,11/11/24 8:05 a.m.,REGULAR_SEASON,FULL_TIME,,2,1,2.16,1.37,54.8%,20.6%,23.9%,2,2,,,10:30,9:30,8:30,,,,,,,,,,,,,,,,,,,,,
6,"Saturday, September 28, 2024",9/28/24 7:30 a.m.,9/28/24 12:30 p.m.,9/28/24 2:30 p.m.,9/28/24 3:30 p.m.,9/28/24 7:30 p.m.,Newcastle vs Man City,St. James' Park,Newcastle,1,1,Man City,11/11/24 8:05 a.m.,REGULAR_SEASON,FULL_TIME,,1,2,1.34,1.61,31.9%,24.3%,43.7%,1,1,,,6:30,5:30,4:30,,,,,,,,,,,,,,,,,,,,,
6,"Saturday, September 28, 2024",9/28/24 10:00 a.m.,9/28/24 3:00 p.m.,9/28/24 5:00 p.m.,9/28/24 6:00 p.m.,9/28/24 10:00 p.m.,Arsenal vs Leicester City,Emirates Stadium,Arsenal,4,2,Leicester City,11/11/24 8:05 a.m.,REGULAR_SEASON,FULL_TIME,,2,1,2.01,1.04,59.3%,21.2%,19.0%,4,2,,,9:00,8:00,7:00,,,,,,,,,,,,,,,,,,,,,
6,"Saturday, September 28, 2024",9/28/24 10:00 a.m.,9/28/24 3:00 p.m.,9/28/24 5:00 p.m.,9/28/24 6:00 p.m.,9/28/24 10:00 p.m.,Brentford vs West Ham,Gtech Community Stadium,Brentford,1,1,West Ham,11/11/24 8:05 a.m.,REGULAR_SEASON,FULL_TIME,,2,1,1.62,1.17,47.6%,24.6%,27.6%,1,1,,,9:00,8:00,7:00,,,,,,,,,,,,,,,,,,,,,
6,"Saturday, September 28, 2024",9/28/24 10:00 a.m.,9/28/24 3:00 p.m.,9/28/24 5:00 p.m.,9/28/24 6:00 p.m.,9/28/24 10:00 p.m.,Chelsea vs Brighton,Stamford Bridge,Chelsea,4,2,Brighton,11/11/24 8:05 a.m.,REGULAR_SEASON,FULL_TIME,,2,2,1.47,1.47,37.6%,24.6%,37.7%,4,2,,,9:00,8:00,7:00,,,,,,,,,,,,,,,,,,,,,
6,"Saturday, September 28, 2024",9/28/24 10:00 a.m.,9/28/24 3:00 p.m.,9/28/24 5:00 p.m.,9/28/24 6:00 p.m.,9/28/24 10:00 p.m.,Everton vs Crystal Palace,Goodison Park,Everton,2,1,Crystal Palace,11/11/24 8:05 a.m.,REGULAR_SEASON,FULL_TIME,,1,1,1.10,1.40,29.6%,26.6%,43.7%,2,1,,,9:00,8:00,7:00,,,,,,,,,,,,,,,,,,,,,
6,"Saturday, September 28, 2024",9/28/24 10:00 a.m.,9/28/24 3:00 p.m.,9/28/24 5:00 p.m.,9/28/24 6:00 p.m.,9/28/24 10:00 p.m.,Nott'm Forest vs Fulham,The City Ground,Nott'm Forest,0,1,Fulham,11/11/24 8:05 a.m.,REGULAR_SEASON,FULL_TIME,,1,2,1.04,1.65,23.8%,24.5%,51.5%,0,1,,,9:00,8:00,7:00,,,,,,,,,,,,,,,,,,,,,
6,"Saturday, September 28, 2024",9/28/24 12:30 p.m.,9/28/24 5:30 p.m.,9/28/24 7:30 p.m.,9/28/24 8:30 p.m.,9/29/24 12:30 a.m.,Wolves vs Liverpool,Molineux Stadium,Wolves,1,2,Liverpool,11/11/24 8:05 a.m.,REGULAR_SEASON,FULL_TIME,,1,2,0.86,2.18,13.5%,18.9%,66.8%,1,2,,,11:30,10:30,9:30,,,,,,,,,,,,,,,,,,,,,
6,"Sunday, September 29, 2024",9/29/24 9:00 a.m.,9/29/24 2:00 p.m.,9/29/24 4:00 p.m.,9/29/24 5:00 p.m.,9/29/24 9:00 p.m.,Ipswich Town vs Aston Villa,Portman Road,Ipswich Town,2,2,Aston Villa,11/11/24 8:05 a.m.,REGULAR_SEASON,FULL_TIME,,0,2,0.76,1.88,14.5%,21.6%,63.6%,2,2,,,8:00,7:00,6:00,,,,,,,,,,,,,,,,,,,,,
6,"Sunday, September 29, 2024",9/29/24 11:30 a.m.,9/29/24 4:30 p.m.,9/29/24 6:30 p.m.,9/29/24 7:30 p.m.,9/29/24 11:30 p.m.,Man Utd vs Spurs,Old Trafford,Man Utd,0,3,Spurs,11/11/24 8:05 a.m.,REGULAR_SEASON,FULL_TIME,,2,1,2.05,1.49,50.0%,21.3%,28.0%,0,3,,,10:30,9:30,8:30,,,,,,,,,,,,,,,,,,,,,
